,No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
33,58,2010,1,3,9,86.0,-11,-9.0,1023.0,2,93.86,13,0
34,59,2010,1,3,10,78.0,-11,-9.0,1023.0,2,97.88,15,0
35,60,2010,1,3,11,98.0,-11,-9.0,1022.0,2,102.8,16,0
36,61,2010,1,3,12,107.0,-11,-9.0,1021.0,2,105.93,17,0
37,62,2010,1,3,13,90.0,-11,-9.0,1020.0,2,111.74,19,0
38,63,2010,1,3,14,96.0,-11,-9.0,1020.0,2,116.66,20,0
39,64,2010,1,3,15,95.0,-11,-9.0,1020.0,2,121.58,21,0
40,65,2010,1,3,16,86.0,-11,-9.0,1020.0,2,124.71,22,0
41,66,2010,1,3,17,70.0,-11,-9.0,1020.0,2,127.84,23,0
42,67,2010,1,3,18,61.0,-11,-9.0,1021.0,3,0.89,24,0
43,68,2010,1,3,19,53.0,-11,-9.0,1022.0,3,1.78,25,0
44,69,2010,1,3,20,71.0,-10,-9.0,1022.0,0,4.02,26,0
45,70,2010,1,3,21,72.0,-11,-10.0,1023.0,0,7.15,27,0
46,71,2010,1,3,22,76.0,-11,-9.0,1023.0,0,11.17,0,0
47,72,2010,1,3,23,73.0,-12,-11.0,1023.0,0,14.3,0,0
48,73,2010,1,4,0,79.0,-14,-12.0,1023.0,0,16.09,0,0
49,74,2010,1,4,1,58.0,-16,-9.0,1023.0,0,21.9,0,0
50,75,2010,1,4,2,25.0,-17,-10.0,1024.0,0,29.95,0,0
51,76,2010,1,4,3,26.0,-18,-11.0,1024.0,0,39.78,0,0
52,77,2010,1,4,4,28.0,-19,-11.0,1025.0,0,48.72,0,0
53,78,2010,1,4,5,26.0,-20,-12.0,1026.0,0,55.87,0,0
54,79,2010,1,4,6,20.0,-21,-12.0,1027.0,0,64.81,0,0
55,80,2010,1,4,7,29.0,-21,-13.0,1027.0,0,73.75,0,0
56,81,2010,1,4,8,26.0,-22,-13.0,1028.0,0,80.9,0,0
57,82,2010,1,4,9,27.0,-22,-13.0,1029.0,0,90.73,0,0
58,83,2010,1,4,10,27.0,-22,-12.0,1030.0,0,100.56,0,0
59,84,2010,1,4,11,25.0,-23,-12.0,1031.0,0,108.61,0,0
60,85,2010,1,4,12,29.0,-21,-11.0,1030.0,0,117.55,0,0
61,86,2010,1,4,13,32.0,-20,-10.0,1030.0,0,127.38,0,0
62,87,2010,1,4,14,28.0,-21,-10.0,1030.0,0,136.32,0,0
63,88,2010,1,4,15,29.0,-21,-9.0,1030.0,0,145.26,0,0
64,89,2010,1,4,16,30.0,-21,-9.0,1031.0,0,152.41,0,0
65,90,2010,1,4,17,30.0,-20,-11.0,1032.0,0,159.56,0,0
66,91,2010,1,4,18,28.0,-23,-11.0,1032.0,0,165.37,0,0
67,92,2010,1,4,19,26.0,-21,-12.0,1033.0,0,171.18,0,0
68,93,2010,1,4,20,31.0,-24,-12.0,1034.0,0,180.12,0,0
69,94,2010,1,4,21,33.0,-24,-13.0,1034.0,0,187.27,0,0
70,95,2010,1,4,22,29.0,-24,-13.0,1035.0,0,195.32,0,0
71,96,2010,1,4,23,31.0,-26,-15.0,1035.0,0,198.45,0,0
72,97,2010,1,5,0,30.0,-26,-17.0,1035.0,0,201.58,0,0
73,98,2010,1,5,1,34.0,-26,-18.0,1035.0,0,205.6,0,0
74,99,2010,1,5,2,27.0,-26,-19.0,1035.0,0,208.73,0,0
75,100,2010,1,5,3,25.0,-27,-18.0,1035.0,0,213.65,0,0
76,101,2010,1,5,4,28.0,-27,-19.0,1035.0,0,218.57,0,0
77,102,2010,1,5,5,28.0,-27,-16.0,1034.0,1,4.92,0,0
78,103,2010,1,5,6,27.0,-26,-16.0,1035.0,1,8.05,0,0
79,104,2010,1,5,7,27.0,-27,-16.0,1034.0,1,13.86,0,0
80,105,2010,1,5,8,27.0,-26,-16.0,1035.0,1,18.78,0,0
81,106,2010,1,5,9,29.0,-26,-15.0,1035.0,1,24.59,0,0
82,107,2010,1,5,10,36.0,-25,-14.0,1035.0,1,29.51,0,0
83,108,2010,1,5,11,30.0,-25,-13.0,1035.0,1,34.43,0,0
84,109,2010,1,5,12,27.0,-25,-12.0,1034.0,1,39.35,0,0
85,110,2010,1,5,13,39.0,-24,-11.0,1032.0,1,41.14,0,0
86,111,2010,1,5,14,41.0,-22,-11.0,1032.0,3,0.89,0,0
87,112,2010,1,5,15,33.0,-23,-11.0,1031.0,0,1.79,0,0
88,113,2010,1,5,16,50.0,-24,-11.0,1031.0,0,3.58,0,0
89,114,2010,1,5,17,56.0,-23,-11.0,1031.0,0,5.37,0,0
90,115,2010,1,5,18,59.0,-23,-11.0,1032.0,0,7.16,0,0
91,116,2010,1,5,19,60.0,-22,-13.0,1033.0,0,10.29,0,0
92,117,2010,1,5,20,84.0,-22,-12.0,1033.0,0,13.42,0,0
93,118,2010,1,5,21,106.0,-24,-18.0,1033.0,0,16.55,0,0
94,119,2010,1,5,22,66.0,-22,-13.0,1034.0,0,20.57,0,0
95,120,2010,1,5,23,50.0,-22,-16.0,1033.0,0,23.7,0,0
96,121,2010,1,6,0,56.0,-25,-17.0,1033.0,0,26.83,0,0
97,122,2010,1,6,1,77.0,-25,-14.0,1033.0,1,4.02,0,0
98,123,2010,1,6,2,50.0,-26,-14.0,1034.0,1,8.04,0,0
99,124,2010,1,6,3,44.0,-26,-14.0,1033.0,1,13.85,0,0
100,125,2010,1,6,4,27.0,-26,-14.0,1033.0,1,17.87,0,0
101,126,2010,1,6,5,28.0,-26,-14.0,1033.0,1,23.68,0,0
102,127,2010,1,6,6,21.0,-26,-14.0,1033.0,1,28.6,0,0
103,128,2010,1,6,7,25.0,-26,-15.0,1034.0,1,33.52,0,0
104,129,2010,1,6,8,20.0,-26,-14.0,1034.0,1,39.33,0,0
105,130,2010,1,6,9,29.0,-25,-13.0,1035.0,1,44.25,0,0
106,131,2010,1,6,10,34.0,-25,-12.0,1035.0,1,50.06,0,0
107,132,2010,1,6,11,42.0,-24,-11.0,1035.0,1,54.98,0,0
108,133,2010,1,6,12,28.0,-24,-10.0,1034.0,1,59.0,0,0
109,134,2010,1,6,13,36.0,-22,-10.0,1033.0,0,4.02,0,0
110,135,2010,1,6,14,48.0,-22,-9.0,1033.0,0,5.81,0,0
111,136,2010,1,6,15,49.0,-22,-8.0,1033.0,3,0.89,0,0
112,137,2010,1,6,16,52.0,-22,-8.0,1033.0,0,1.79,0,0
113,138,2010,1,6,17,56.0,-21,-9.0,1033.0,0,3.58,0,0
114,139,2010,1,6,18,96.0,-22,-9.0,1033.0,0,5.37,0,0
115,140,2010,1,6,19,75.0,-22,-14.0,1034.0,3,0.89,0,0
116,141,2010,1,6,20,105.0,-22,-12.0,1035.0,0,1.79,0,0
117,142,2010,1,6,21,132.0,-21,-14.0,1034.0,0,3.58,0,0
118,143,2010,1,6,22,93.0,-22,-16.0,1035.0,0,5.37,0,0
119,144,2010,1,6,23,131.0,-21,-16.0,1035.0,0,7.16,0,0
120,145,2010,1,7,0,127.0,-21,-16.0,1035.0,0,8.95,0,0
121,146,2010,1,7,1,130.0,-21,-16.0,1035.0,3,0.45,0,0
122,147,2010,1,7,2,43.0,-22,-18.0,1036.0,3,1.34,0,0
123,148,2010,1,7,3,37.0,-23,-15.0,1036.0,0,4.02,0,0
124,149,2010,1,7,4,30.0,-24,-16.0,1035.0,0,7.15,0,0
125,150,2010,1,7,5,28.0,-25,-15.0,1035.0,0,10.28,0,0
126,151,2010,1,7,6,24.0,-24,-15.0,1035.0,0,14.3,0,0
127,152,2010,1,7,7,23.0,-25,-13.0,1036.0,1,4.92,0,0
128,153,2010,1,7,8,24.0,-24,-14.0,1036.0,0,4.02,0,0
129,154,2010,1,7,9,27.0,-23,-12.0,1036.0,0,8.94,0,0
130,155,2010,1,7,10,40.0,-22,-11.0,1036.0,0,12.96,0,0
131,156,2010,1,7,11,42.0,-20,-10.0,1036.0,0,16.09,0,0
132,157,2010,1,7,12,42.0,-21,-9.0,1035.0,0,19.22,0,0
133,158,2010,1,7,13,55.0,-21,-8.0,1034.0,0,21.01,0,0
134,159,2010,1,7,14,52.0,-20,-7.0,1033.0,0,22.8,0,0
135,160,2010,1,7,15,51.0,-20,-7.0,1032.0,0,24.59,0,0
136,161,2010,1,7,16,57.0,-18,-8.0,1032.0,0,26.38,0,0
137,162,2010,1,7,17,50.0,-19,-9.0,1032.0,0,28.17,0,0
138,163,2010,1,7,18,54.0,-19,-11.0,1032.0,1,0.89,0,0
139,164,2010,1,7,19,67.0,-18,-11.0,1033.0,0,1.79,0,0
140,165,2010,1,7,20,106.0,-19,-15.0,1032.0,1,1.79,0,0
141,166,2010,1,7,21,159.0,-19,-14.0,1032.0,3,0.45,0,0
142,167,2010,1,7,22,198.0,-21,-14.0,1032.0,3,1.34,0,0
143,168,2010,1,7,23,190.0,-21,-16.0,1032.0,3,2.23,0,0
144,169,2010,1,8,0,210.0,-21,-17.0,1031.0,0,1.79,0,0
145,170,2010,1,8,1,195.0,-19,-16.0,1031.0,0,3.58,0,0
146,171,2010,1,8,2,275.0,-20,-16.0,1031.0,1,0.89,0,0
147,172,2010,1,8,3,164.0,-19,-15.0,1030.0,2,0.89,0,0
148,173,2010,1,8,4,110.0,-18,-15.0,1030.0,3,0.45,0,0
149,174,2010,1,8,5,100.0,-18,-15.0,1029.0,3,1.34,0,0
150,175,2010,1,8,6,81.0,-18,-15.0,1029.0,0,1.79,0,0
151,176,2010,1,8,7,71.0,-16,-13.0,1029.0,1,0.89,0,0
152,177,2010,1,8,8,66.0,-16,-12.0,1029.0,2,0.89,0,0
153,178,2010,1,8,9,92.0,-16,-12.0,1030.0,2,1.78,0,0
154,179,2010,1,8,10,135.0,-17,-10.0,1030.0,1,0.89,0,0
155,180,2010,1,8,11,155.0,-16,-10.0,1029.0,3,0.89,0,0
156,181,2010,1,8,12,198.0,-16,-9.0,1028.0,2,3.13,0,0
157,182,2010,1,8,13,250.0,-15,-8.0,1026.0,2,4.92,0,0
158,183,2010,1,8,14,200.0,-16,-8.0,1026.0,3,0.89,0,0
159,184,2010,1,8,15,231.0,-16,-8.0,1025.0,3,1.78,0,0
160,185,2010,1,8,16,250.0,-16,-8.0,1025.0,3,2.67,0,0
161,186,2010,1,8,17,212.0,-17,-8.0,1025.0,2,0.89,0,0
162,187,2010,1,8,18,219.0,-17,-9.0,1026.0,3,0.45,0,0
163,188,2010,1,8,19,227.0,-17,-11.0,1026.0,3,1.34,0,0
164,189,2010,1,8,20,226.0,-17,-12.0,1026.0,3,1.79,0,0
165,190,2010,1,8,21,225.0,-18,-14.0,1027.0,0,1.79,0,0
166,191,2010,1,8,22,168.0,-16,-9.0,1027.0,0,4.92,0,0
167,192,2010,1,8,23,169.0,-16,-11.0,1027.0,0,6.71,0,0
168,193,2010,1,9,0,165.0,-17,-13.0,1027.0,3,0.89,0,0
169,194,2010,1,9,1,159.0,-17,-13.0,1027.0,0,3.13,0,0
170,195,2010,1,9,2,167.0,-17,-14.0,1027.0,0,4.92,0,0
171,196,2010,1,9,3,196.0,-17,-15.0,1027.0,0,8.05,0,0
172,197,2010,1,9,4,169.0,-17,-13.0,1027.0,0,9.84,0,0
173,198,2010,1,9,5,155.0,-19,-16.0,1027.0,0,13.86,0,0
174,199,2010,1,9,6,119.0,-18,-15.0,1027.0,0,17.88,0,0
175,200,2010,1,9,7,106.0,-19,-15.0,1027.0,0,21.9,0,0
176,201,2010,1,9,8,93.0,-18,-14.0,1028.0,0,25.92,0,0
177,202,2010,1,9,9,84.0,-18,-9.0,1029.0,1,5.81,0,0
178,203,2010,1,9,10,73.0,-17,-7.0,1029.0,1,11.62,0,0
179,204,2010,1,9,11,66.0,-17,-6.0,1030.0,1,17.43,0,0
180,205,2010,1,9,12,40.0,-16,-6.0,1029.0,1,23.24,0,0
181,206,2010,1,9,13,49.0,-16,-5.0,1029.0,1,28.16,0,0
182,207,2010,1,9,14,50.0,-15,-4.0,1029.0,1,33.08,0,0
183,208,2010,1,9,15,49.0,-14,-4.0,1028.0,1,37.1,0,0
184,209,2010,1,9,16,41.0,-15,-4.0,1029.0,1,38.89,0,0
185,210,2010,1,9,17,37.0,-15,-4.0,1030.0,0,1.79,0,0
186,211,2010,1,9,18,45.0,-15,-7.0,1030.0,1,3.13,0,0
187,212,2010,1,9,19,44.0,-15,-6.0,1031.0,0,3.13,0,0
188,213,2010,1,9,20,54.0,-15,-7.0,1032.0,0,4.92,0,0
189,214,2010,1,9,21,50.0,-15,-6.0,1032.0,1,3.13,0,0
190,215,2010,1,9,22,47.0,-15,-8.0,1033.0,3,0.45,0,0
191,216,2010,1,9,23,66.0,-15,-8.0,1033.0,3,0.9,0,0
192,217,2010,1,10,0,75.0,-15,-11.0,1033.0,0,0.89,0,0
193,218,2010,1,10,1,82.0,-17,-13.0,1033.0,0,1.78,0,0
194,219,2010,1,10,2,66.0,-17,-12.0,1033.0,0,4.91,0,0
195,220,2010,1,10,3,83.0,-17,-13.0,1033.0,0,8.04,0,0
196,221,2010,1,10,4,62.0,-19,-14.0,1032.0,0,9.83,0,0
197,222,2010,1,10,5,40.0,-18,-13.0,1032.0,0,12.96,0,0
198,223,2010,1,10,6,23.0,-19,-13.0,1032.0,0,16.09,0,0
199,224,2010,1,10,7,25.0,-19,-14.0,1033.0,0,19.22,0,0
200,225,2010,1,10,8,27.0,-19,-14.0,1034.0,0,22.35,0,0
201,226,2010,1,10,9,35.0,-17,-12.0,1033.0,0,24.14,0,0
202,227,2010,1,10,10,50.0,-16,-7.0,1033.0,1,4.02,0,0
203,228,2010,1,10,11,70.0,-15,-7.0,1033.0,0,3.13,0,0
204,229,2010,1,10,12,75.0,-15,-7.0,1032.0,0,6.26,0,0
205,230,2010,1,10,13,58.0,-14,-6.0,1031.0,0,9.39,0,0
206,231,2010,1,10,14,70.0,-14,-6.0,1031.0,0,12.52,0,0
207,232,2010,1,10,15,68.0,-13,-5.0,1030.0,0,14.31,0,0
208,233,2010,1,10,16,71.0,-14,-5.0,1031.0,0,16.1,0,0
209,234,2010,1,10,17,88.0,-14,-6.0,1031.0,0,19.23,0,0
210,235,2010,1,10,18,84.0,-13,-7.0,1032.0,0,23.25,0,0
211,236,2010,1,10,19,83.0,-15,-6.0,1032.0,0,27.27,0,0
212,237,2010,1,10,20,66.0,-15,-6.0,1033.0,0,30.4,0,0
213,238,2010,1,10,21,27.0,-15,-4.0,1034.0,0,35.32,0,0
214,239,2010,1,10,22,24.0,-16,-4.0,1034.0,0,44.26,0,0
215,240,2010,1,10,23,22.0,-17,-5.0,1035.0,0,52.31,0,0
216,241,2010,1,11,0,23.0,-17,-6.0,1035.0,0,60.36,0,0
217,242,2010,1,11,1,27.0,-17,-8.0,1035.0,3,0.89,0,0
218,243,2010,1,11,2,23.0,-19,-11.0,1036.0,0,4.02,0,0
219,244,2010,1,11,3,17.0,-20,-11.0,1036.0,0,8.94,0,0
220,245,2010,1,11,4,17.0,-21,-11.0,1035.0,1,4.02,0,0
221,246,2010,1,11,5,16.0,-22,-12.0,1035.0,0,3.13,0,0
222,247,2010,1,11,6,16.0,-22,-12.0,1035.0,1,4.92,0,0
223,248,2010,1,11,7,20.0,-22,-13.0,1036.0,0,5.81,0,0
224,249,2010,1,11,8,20.0,-22,-9.0,1036.0,0,13.86,0,0
225,250,2010,1,11,9,18.0,-22,-10.0,1036.0,0,21.91,0,0
226,251,2010,1,11,10,25.0,-22,-9.0,1036.0,0,29.06,0,0
227,252,2010,1,11,11,26.0,-21,-9.0,1036.0,0,33.08,0,0
228,253,2010,1,11,12,27.0,-20,-6.0,1035.0,0,42.02,0,0
229,254,2010,1,11,13,28.0,-19,-5.0,1034.0,0,50.96,0,0
230,255,2010,1,11,14,15.0,-19,-5.0,1033.0,0,59.01,0,0
231,256,2010,1,11,15,24.0,-20,-5.0,1033.0,0,66.16,0,0
232,257,2010,1,11,16,13.0,-20,-5.0,1032.0,0,71.97,0,0
233,258,2010,1,11,17,13.0,-20,-5.0,1033.0,0,76.89,0,0
234,259,2010,1,11,18,13.0,-20,-7.0,1033.0,0,81.81,0,0
235,260,2010,1,11,19,17.0,-22,-7.0,1033.0,0,85.83,0,0
236,261,2010,1,11,20,20.0,-22,-8.0,1033.0,0,89.85,0,0
237,262,2010,1,11,21,27.0,-23,-10.0,1033.0,0,91.64,0,0
238,263,2010,1,11,22,20.0,-23,-13.0,1033.0,0,93.43,0,0
239,264,2010,1,11,23,15.0,-22,-12.0,1032.0,3,0.89,0,0
240,265,2010,1,12,0,21.0,-22,-15.0,1031.0,3,1.78,0,0
241,266,2010,1,12,1,21.0,-22,-14.0,1031.0,1,1.79,0,0
242,267,2010,1,12,2,37.0,-22,-14.0,1031.0,0,0.89,0,0
243,268,2010,1,12,3,26.0,-24,-18.0,1030.0,1,1.79,0,0
244,269,2010,1,12,4,15.0,-24,-13.0,1030.0,1,3.58,0,0
245,270,2010,1,12,5,9.0,-25,-14.0,1030.0,0,3.13,0,0
246,271,2010,1,12,6,11.0,-24,-14.0,1030.0,0,7.15,0,0
247,272,2010,1,12,7,11.0,-25,-12.0,1030.0,0,12.96,0,0
248,273,2010,1,12,8,16.0,-26,-14.0,1030.0,0,16.98,0,0
249,274,2010,1,12,9,13.0,-25,-12.0,1031.0,0,21.0,0,0
250,275,2010,1,12,10,15.0,-25,-11.0,1031.0,0,26.81,0,0
251,276,2010,1,12,11,21.0,-24,-11.0,1030.0,0,35.75,0,0
252,277,2010,1,12,12,24.0,-23,-11.0,1029.0,0,47.82,0,0
253,278,2010,1,12,13,22.0,-22,-11.0,1029.0,0,63.02,0,0
254,279,2010,1,12,14,22.0,-23,-11.0,1029.0,0,75.98,0,0
255,280,2010,1,12,15,22.0,-22,-11.0,1029.0,0,88.05,0,0
256,281,2010,1,12,16,19.0,-23,-11.0,1030.0,0,101.01,0,0
257,282,2010,1,12,17,23.0,-24,-11.0,1030.0,0,109.06,0,0
258,283,2010,1,12,18,25.0,-24,-11.0,1032.0,0,118.0,0,0
259,284,2010,1,12,19,25.0,-23,-11.0,1032.0,0,126.05,0,0
260,285,2010,1,12,20,31.0,-23,-12.0,1032.0,0,134.1,0,0
261,286,2010,1,12,21,25.0,-24,-12.0,1033.0,0,142.15,0,0
262,287,2010,1,12,22,22.0,-23,-12.0,1033.0,0,150.2,0,0
263,288,2010,1,12,23,22.0,-23,-12.0,1034.0,0,160.03,0,0
264,289,2010,1,13,0,15.0,-24,-12.0,1034.0,0,169.86,0,0
265,290,2010,1,13,1,16.0,-24,-12.0,1033.0,0,178.8,0,0
266,291,2010,1,13,2,11.0,-25,-12.0,1033.0,0,189.98,0,0
267,292,2010,1,13,3,11.0,-24,-13.0,1033.0,0,198.03,0,0
268,293,2010,1,13,4,12.0,-25,-12.0,1032.0,0,205.18,0,0
269,294,2010,1,13,5,11.0,-25,-12.0,1033.0,0,215.01,0,0
270,295,2010,1,13,6,12.0,-25,-12.0,1032.0,0,226.19,0,0
271,296,2010,1,13,7,27.0,-25,-12.0,1032.0,0,235.13,0,0
272,297,2010,1,13,8,28.0,-25,-12.0,1032.0,0,243.18,0,0
273,298,2010,1,13,9,34.0,-23,-11.0,1033.0,0,252.12,0,0
274,299,2010,1,13,10,33.0,-23,-10.0,1033.0,0,257.93,0,0
275,300,2010,1,13,11,36.0,-22,-9.0,1033.0,0,263.74,0,0
276,301,2010,1,13,12,26.0,-21,-8.0,1031.0,0,270.89,0,0
277,302,2010,1,13,13,49.0,-21,-6.0,1030.0,0,278.94,0,0
278,303,2010,1,13,14,52.0,-20,-5.0,1029.0,0,286.99,0,0
279,304,2010,1,13,15,47.0,-22,-5.0,1028.0,0,294.14,0,0
280,305,2010,1,13,16,47.0,-21,-5.0,1028.0,0,299.06,0,0
281,306,2010,1,13,17,39.0,-19,-7.0,1028.0,2,1.79,0,0
282,307,2010,1,13,18,59.0,-19,-8.0,1028.0,3,0.45,0,0
283,308,2010,1,13,19,76.0,-20,-9.0,1028.0,3,1.34,0,0
284,309,2010,1,13,20,96.0,-19,-10.0,1027.0,2,1.79,0,0
285,310,2010,1,13,21,95.0,-19,-13.0,1027.0,3,0.89,0,0
286,311,2010,1,13,22,68.0,-18,-12.0,1027.0,3,1.78,0,0
287,312,2010,1,13,23,65.0,-18,-13.0,1027.0,1,0.89,0,0
288,313,2010,1,14,0,75.0,-18,-14.0,1026.0,1,1.78,0,0
289,314,2010,1,14,1,257.0,-20,-15.0,1025.0,1,2.67,0,0
290,315,2010,1,14,2,174.0,-20,-15.0,1025.0,0,0.89,0,0
291,316,2010,1,14,3,164.0,-20,-16.0,1025.0,0,1.78,0,0
292,317,2010,1,14,4,161.0,-20,-16.0,1024.0,0,3.57,0,0
293,318,2010,1,14,5,137.0,-21,-17.0,1024.0,0,6.7,0,0
294,319,2010,1,14,6,92.0,-19,-14.0,1023.0,0,10.72,0,0
295,320,2010,1,14,7,64.0,-21,-17.0,1023.0,0,13.85,0,0
296,321,2010,1,14,8,87.0,-19,-15.0,1024.0,0,15.64,0,0
297,322,2010,1,14,9,87.0,-19,-14.0,1024.0,0,18.77,0,0
298,323,2010,1,14,10,84.0,-18,-10.0,1024.0,0,22.79,0,0
299,324,2010,1,14,11,95.0,-17,-9.0,1023.0,0,24.58,0,0
300,325,2010,1,14,12,79.0,-16,-6.0,1023.0,0,26.37,0,0
301,326,2010,1,14,13,75.0,-17,-5.0,1022.0,0,28.16,0,0
302,327,2010,1,14,14,79.0,-16,-5.0,1022.0,0,29.95,0,0
303,328,2010,1,14,15,86.0,-15,-4.0,1022.0,0,33.08,0,0
304,329,2010,1,14,16,72.0,-16,-4.0,1023.0,3,0.89,0,0
305,330,2010,1,14,17,89.0,-15,-5.0,1025.0,2,1.79,0,0
306,331,2010,1,14,18,94.0,-14,-3.0,1026.0,0,5.81,0,0
307,332,2010,1,14,19,69.0,-16,-3.0,1027.0,0,11.62,0,0
308,333,2010,1,14,20,49.0,-15,-4.0,1029.0,0,20.56,0,0
309,334,2010,1,14,21,33.0,-16,-5.0,1031.0,0,24.58,0,0
310,335,2010,1,14,22,27.0,-17,-6.0,1032.0,1,3.13,0,0
311,336,2010,1,14,23,20.0,-18,-6.0,1033.0,1,8.05,0,0
312,337,2010,1,15,0,36.0,-19,-7.0,1034.0,1,13.86,0,0
313,338,2010,1,15,1,37.0,-17,-8.0,1035.0,0,5.81,0,0
314,339,2010,1,15,2,30.0,-18,-10.0,1035.0,0,11.62,0,0
315,340,2010,1,15,3,18.0,-19,-10.0,1036.0,0,14.75,0,0
316,341,2010,1,15,4,21.0,-19,-9.0,1036.0,0,19.67,0,0
317,342,2010,1,15,5,13.0,-19,-9.0,1036.0,1,7.15,0,0
318,343,2010,1,15,6,23.0,-20,-9.0,1037.0,1,12.96,0,0
319,344,2010,1,15,7,26.0,-19,-9.0,1037.0,1,18.77,0,0
320,345,2010,1,15,8,27.0,-19,-8.0,1038.0,1,22.79,0,0
321,346,2010,1,15,9,30.0,-19,-8.0,1039.0,1,28.6,0,0
322,347,2010,1,15,10,28.0,-19,-7.0,1039.0,1,35.75,0,0
323,348,2010,1,15,11,26.0,-18,-6.0,1039.0,1,41.56,0,0
324,349,2010,1,15,12,26.0,-18,-5.0,1039.0,1,45.58,0,0
325,350,2010,1,15,13,31.0,-17,-4.0,1038.0,0,1.79,0,0
326,351,2010,1,15,14,35.0,-16,-3.0,1037.0,3,0.89,0,0
327,352,2010,1,15,15,36.0,-17,-3.0,1037.0,3,1.78,0,0
328,353,2010,1,15,16,37.0,-17,-2.0,1037.0,3,2.23,0,0
329,354,2010,1,15,17,64.0,-15,-5.0,1036.0,2,0.89,0,0
330,355,2010,1,15,18,83.0,-15,-6.0,1036.0,3,0.89,0,0
331,356,2010,1,15,19,91.0,-15,-6.0,1037.0,3,1.78,0,0
332,357,2010,1,15,20,90.0,-14,-6.0,1037.0,2,1.79,0,0
333,358,2010,1,15,21,102.0,-14,-8.0,1036.0,2,3.58,0,0
334,359,2010,1,15,22,94.0,-14,-10.0,1037.0,3,0.89,0,0
335,360,2010,1,15,23,87.0,-15,-11.0,1036.0,3,1.78,0,0
336,361,2010,1,16,0,141.0,-15,-11.0,1036.0,3,2.67,0,0
337,362,2010,1,16,1,211.0,-16,-13.0,1036.0,1,0.89,0,0
338,363,2010,1,16,2,242.0,-16,-12.0,1036.0,3,0.89,0,0
339,364,2010,1,16,3,271.0,-16,-13.0,1035.0,1,0.89,0,0
340,365,2010,1,16,4,249.0,-15,-12.0,1035.0,1,1.78,0,0
341,366,2010,1,16,5,200.0,-14,-10.0,1034.0,0,1.79,0,0
342,367,2010,1,16,6,147.0,-15,-10.0,1034.0,0,2.68,0,0
343,368,2010,1,16,7,114.0,-15,-11.0,1034.0,0,4.47,0,0
344,369,2010,1,16,8,102.0,-15,-11.0,1034.0,0,6.26,0,0
345,370,2010,1,16,9,108.0,-14,-9.0,1034.0,0,8.05,0,0
346,371,2010,1,16,10,135.0,-14,-9.0,1034.0,0,9.84,0,0
